1bin,1count,1m,1std,2bin,2count,2m,2std,3bin,3count,3m,3std,4bin,4count,4m,4std,5bin,5count,5m,5std,6bin,6count,6m,6std,7bin,7count,7m,7std,8bin,8count,8m,8std,9bin,9count,9m,9std,10bin,10count,10m,10std,11bin,11count,11m,11std,12bin,12count,12m,12std
0,,59.6378169,21.4382145,0,,76.75133803,28.21659357,0,,63.52711268,20.98190302,0,,47.38176056,17.02577773,0,,46.74049296,16.16387514,0,,38.15901408,19.6568742,0,,57.57098592,24.96076342,0,,64.66225352,29.962482,0,,58.81021127,26.23348257,0,,24.19415493,8.947219746,0,,33.88492958,13.19711219,0,,45.87295775,23.30042141
7,0,,,9,0,,,7,0,,,6,0,,,5,0,,,5,1,,,7,0,,,8,1,,,7,1,,,3,0,,,4,0,,,6,0,,
14,0,,,18,4,,,15,0,,,11,0,,,11,0,,,10,0,,,15,2,,,16,1,,,15,1,,,6,0,,,8,0,,,12,1,,
21,0,,,28,2,,,22,0,,,17,0,,,16,0,,,15,1,,,22,1,,,25,1,,,22,1,,,8,0,,,12,0,,,18,0,,
28,0,,,37,0,,,29,1,,,22,0,,,21,0,,,20,1,,,29,3,,,33,1,,,30,2,,,11,0,,,16,0,,,24,2,,
35,0,,,46,1,,,37,0,,,28,0,,,27,0,,,25,1,,,37,1,,,41,1,,,37,0,,,14,0,,,21,0,,,30,0,,
41,0,,,55,0,,,44,2,,,33,0,,,32,0,,,30,1,,,44,2,,,49,0,,,44,1,,,17,0,,,25,1,,,36,0,,
48,1,,,64,3,,,51,1,,,39,0,,,37,0,,,35,1,,,51,4,,,57,4,,,52,0,,,20,0,,,29,2,,,42,1,,
55,0,,,74,4,,,58,0,,,44,2,,,42,1,,,40,2,,,58,5,,,66,2,,,59,3,,,22,0,,,33,2,,,48,1,,
62,2,,,83,13,,,66,7,,,50,7,,,48,3,,,45,5,,,66,9,,,74,6,,,67,8,,,25,1,,,37,15,,,54,5,,
69,94,,,92,88,,,73,99,,,55,80,,,53,43,,,50,58,,,73,89,,,82,80,,,74,100,,,28,69,,,41,87,,,60,77,,
